0.0, 0.0
0.1, 0.01
0.2, 0.04
0.3, 0.09
0.4, 0.16
0.5, 0.25
0.6, 0.36
0.7, 0.49
0.8, 0.64
0.9, 0.81
1.0, 1.0
1.1, 1.21
1.2, 1.44
1.3, 1.69
1.4, 1.96
1.5, 2.25
1.6, 2.56
1.7, 2.89
1.8, 3.24
1.9, 3.61
2.0, 4.0
2.1, 4.41
2.2, 4.84
2.3, 5.29
2.4, 5.76
2.5, 6.25
2.6, 6.76
2.7, 7.29
2.8, 7.84
2.9, 8.41
3.0, 9.0
3.1, 9.61
3.2, 10.24
3.3, 10.89
3.4, 11.56
3.5, 12.25
3.6, 12.96
3.7, 13.69
3.8, 14.44
3.9, 15.21
4.0, 16.0
4.1, 16.81
4.2, 17.64
4.3, 18.49
4.4, 19.36
4.5, 20.25
4.6, 21.16
4.7, 22.09
4.8, 23.04
4.9, 24.01
5.0, 25.0
5.1, 26.01
5.2, 27.04
5.3, 28.09
5.4, 29.16
5.5, 30.25
5.6, 31.36
5.7, 32.49
5.8, 33.64
5.9, 34.81
6.0, 36.0
6.1, 37.21
6.2, 38.44
6.3, 39.69
6.4, 40.96
6.5, 42.25
6.6, 43.56
6.7, 44.89
6.8, 46.24
6.9, 47.61
7.0, 49.0
7.1, 50.41
7.2, 51.84
7.3, 53.29
7.4, 54.76
7.5, 56.25
7.6, 57.76
7.7, 59.29
7.8, 60.84
7.9, 62.41
8.0, 64.0
8.1, 65.61
8.2, 67.24
8.3, 68.89
8.4, 70.56
8.5, 72.25
8.6, 73.96
8.7, 75.69
8.8, 77.44
8.9, 79.21
9.0, 81.0
9.1, 82.81
9.2, 84.64
9.3, 86.49
9.4, 88.36
9.5, 90.25
9.6, 92.16
9.7, 94.09
9.8, 96.04
9.9, 98.01
10.0, 100.0
10.1, 102.01
10.2, 104.04
10.3, 106.09
10.4, 108.16
10.5, 110.25
10.6, 112.36
10.7, 114.49
10.8, 116.64
10.9, 118.81
11.0, 121.0
11.1, 123.21
11.2, 125.44
11.3, 127.69
11.4, 129.96
11.5, 132.25
11.6, 134.56
11.7, 136.89
11.8, 139.24
11.9, 141.61
12.0, 144.0
12.1, 146.41
12.2, 148.84
12.3, 151.29
12.4, 153.76
12.5, 156.25
12.6, 158.76
12.7, 161.29
12.8, 163.84
12.9, 166.41
13.0, 169.0
13.1, 171.61
13.2, 174.24
13.3, 176.89
13.4, 179.56
13.5, 182.25
13.6, 184.96
13.7, 187.69
13.8, 190.44
13.9, 193.21
14.0, 196.0
14.1, 198.81
14.2, 201.64
14.3, 204.49
14.4, 207.36
14.5, 210.25
14.6, 213.16
14.7, 216.09
14.8, 219.04
14.9, 222.01
15.0, 225.0
15.1, 228.01
15.2, 231.04
15.3, 234.09
15.4, 237.16
15.5, 240.25
15.6, 243.36
15.7, 246.49
15.8, 249.64
15.9, 252.81
16.0, 256.0
16.1, 259.21
16.2, 262.44
16.3, 265.69
16.4, 268.96
16.5, 272.25
16.6, 275.56
16.7, 278.89
16.8, 282.24
16.9, 285.61
17.0, 289.0
17.1, 292.41
17.2, 295.84
17.3, 299.29
17.4, 302.76
17.5, 306.25
17.6, 309.76
17.7, 313.29
17.8, 316.84
17.9, 320.41
18.0, 324.0
18.1, 327.61
18.2, 331.24
18.3, 334.89
18.4, 338.56
18.5, 342.25
18.6, 345.96
18.7, 349.69
18.8, 353.44
18.9, 357.21
19.0, 361.0
19.1, 364.81
19.2, 368.64
19.3, 372.49
19.4, 376.36
19.5, 380.25
19.6, 384.16
19.7, 388.09
19.8, 392.04
19.9, 396.01
20.0, 400.0
20.1, 404.01
20.2, 408.04
20.3, 412.09
20.4, 416.16
20.5, 420.25
20.6, 424.36
20.7, 428.49
20.8, 432.64
20.9, 436.81
21.0, 441.0
21.1, 445.21
21.2, 449.44
21.3, 453.69
21.4, 457.96
21.5, 462.25
21.6, 466.56
21.7, 470.89
21.8, 475.24
21.9, 479.61
22.0, 484.0
22.1, 488.41
22.2, 492.84
22.3, 497.29
22.4, 501.76
22.5, 506.25
22.6, 510.76
22.7, 515.29
22.8, 519.84
22.9, 524.41
23.0, 529.0
23.1, 533.61
23.2, 538.24
23.3, 542.89
23.4, 547.56
23.5, 552.25
23.6, 556.96
23.7, 561.69
23.8, 566.44
23.9, 571.21
24.0, 576.0
24.1, 580.81
24.2, 585.64
24.3, 590.49
24.4, 595.36
24.5, 600.25
24.6, 605.16
24.7, 610.09
24.8, 615.04
24.9, 620.01
25.0, 625.0
25.1, 630.01
25.2, 635.04
25.3, 640.09
25.4, 645.16
25.5, 650.25
25.6, 655.36
25.7, 660.49
25.8, 665.64
25.9, 670.81
26.0, 676.0
26.1, 681.21
